1.096	-2.23738	-1.85858	1.96839
1.104	-2.1464	-1.76799	1.98123
1.112	-2.05201	-1.68125	1.99405
1.12	-1.95438	-1.59849	2.00685
1.128	-1.85369	-1.51982	2.01963
1.136	-1.7501	-1.44537	2.03239
1.144	-1.64378	-1.37522	2.04512
1.152	-1.53491	-1.3095	2.05784
1.16	-1.42369	-1.24827	2.07054
1.168	-1.31028	-1.19163	2.08322
1.176	-1.19489	-1.13966	2.09587
1.184	-1.0777	-1.09242	2.10851
1.192	-0.958898	-1.04997	2.12113
1.2	-0.83869	-1.01236	2.13372
1.208	-0.717268	-0.979645	2.1463
1.216	-0.594832	-0.951855	2.15885
1.224	-0.47158	-0.929021	2.17139
1.232	-0.347711	-0.911162	2.1839
1.24	-0.223427	-0.898291	2.1964
1.248	-0.0989265	-0.890413	2.20888
1.256	0.02559	-0.887525	2.22133
1.264	0.149923	-0.889615	2.23377
1.272	0.273875	-0.896664	2.24618
1.28	0.397248	-0.908646	2.25858
1.288	0.519847	-0.925524	2.27096
1.296	0.641479	-0.947256	2.28331
1.304	0.761951	-0.973793	2.29565
1.312	0.881074	-1.00508	2.30797
1.32	0.998664	-1.04104	2.32026
1.328	1.11454	-1.08161	2.33254
1.336	1.22851	-1.12671	2.3448
1.344	1.34041	-1.17626	2.35704
1.352	1.45006	-1.23015	2.36926
1.36	1.5573	-1.28829	2.38146
1.368	1.66196	-1.35057	2.39364
1.376	1.76388	-1.41689	2.4058
1.384	1.86292	-1.48711	2.41794
1.392	1.95891	-1.56112	2.43006
1.4	2.05171	-1.63878	2.44216
1.408	2.14119	-1.71997	2.45425
1.416	2.22722	-1.80453	2.46631
1.424	2.30966	-1.89232	2.47835
1.432	2.3884	-1.98319	2.49038
1.44	2.46333	-2.07699	2.50238
1.448	2.53433	-2.17356	2.51437
1.456	2.6013	-2.27273	2.52634
1.464	2.66415	-2.37433	2.53829
1.472	2.7228	-2.47821	2.55022
1.48	2.77716	-2.58417	2.56213
1.488	2.82716	-2.69205	2.57402
1.496	2.87273	-2.80167	2.58589
1.504	2.91381	-2.91284	2.59774
1.512	2.95036	-3.02539	2.60958
1.52	2.98233	-3.13913	2.62139
1.528	3.00967	-3.25387	2.63319
1.536	3.03238	-3.36943	2.64497
1.544	3.05041	-3.48561	2.65672
1.552	3.06376	-3.60224	2.66846
1.56	3.07243	-3.71913	2.68018
1.568	3.0764	-3.83607	2.69189
1.576	3.0757	-3.9529	2.70357
1.584	3.07033	-4.06942	2.71524
1.592	3.06033	-4.18544	2.72688
1.6	3.04572	-4.30079	2.73851
1.608	3.02653	-4.41528	2.75012
1.616	3.00283	-4.52872	2.76171
1.624	2.97465	-4.64095	2.77328
1.632	2.94205	-4.75179	2.78483
1.64	2.90511	-4.86105	2.79637
1.648	2.8639	-4.96858	2.80789
1.656	2.81849	-5.07421	2.81938
1.664	2.76897	-5.17777	2.83086
1.672	2.71544	-5.27911	2.84233
1.68	2.65799	-5.37806	2.85377
1.688	2.59672	-5.47449	2.86519
1.696	2.53176	-5.56823	2.8766
1.704	2.4632	-5.65916	2.88799
1.712	2.39118	-5.74714	2.89936
1.72	2.31582	-5.83202	2.91071
1.728	2.23725	-5.9137	2.92204
1.736	2.15561	-5.99204	2.93336
1.744	2.07104	-6.06694	2.94466
1.752	1.98368	-6.13828	2.95594
1.76	1.89368	-6.20596	2.9672
1.768	1.8012	-6.26988	2.97844
1.776	1.70638	-6.32996	2.98967
1.784	1.60939	-6.38611	3.00088
1.792	1.51039	-6.43825	3.01206
1.8	1.40955	-6.48631	3.02324
1.808	1.30704	-6.53024	3.03439
1.816	1.20301	-6.56996	3.04553
1.824	1.09765	-6.60544	3.05664
1.832	0.991119	-6.63662	3.06775
1.84	0.883603	-6.66348	3.07883
1.848	0.775272	-6.68598	3.08989
1.856	0.666302	-6.7041	3.10094
1.864	0.556871	-6.71783	3.11197
1.872	0.447153	-6.72715	3.12298
1.88	0.337326	-6.73207	3.13398
1.888	0.227566	-6.7326	3.14495
1.896	0.118049	-6.72874	3.15591
1.904	0.00894745	-6.72052	3.16685
1.912	-0.0995639	-6.70796	3.17778
1.92	-0.207314	-6.6911	3.18869
1.928	-0.314132	-6.66998	3.19958
1.936	-0.419851	-6.64464	3.21045
1.944	-0.524305	-6.61515	3.2213
1.952	-0.627331	-6.58155	3.23214
1.96	-0.728769	-6.54392	3.24296
1.968	-0.828461	-6.50233	3.25376
1.976	-0.926254	-6.45687	3.26455
1.984	-1.022	-6.4076	3.27531
1.992	-1.11554	-6.35463	3.28607
2	-1.20675	-6.29806	3.2968
2.008	-1.29548	-6.23797	3.30752
2.016	-1.3816	-6.17449	3.31822
2.024	-1.46498	-6.10773	3.3289
2.032	-1.54549	-6.03779	3.33956
2.04	-1.62302	-5.96481	3.35021
