0	0	0	0	20	0	2
0.004	0.0799627	-0.000799547	0.0079968	19.98	-0.399653	1.9984
0.008	0.159829	-0.00319616	0.0159872	19.9521	-0.798508	1.9968
0.012	0.239569	-0.00718633	0.0239712	19.9162	-1.19641	1.99521
0.016	0.319148	-0.0127659	0.0319489	19.8723	-1.59319	1.99361
0.02	0.398537	-0.0199301	0.0399201	19.8206	-1.9887	1.99202
0.024	0.477703	-0.0286736	0.047885	19.7611	-2.38278	1.99042
0.028	0.556615	-0.0389903	0.0558435	19.6937	-2.77528	1.98883
0.032	0.635242	-0.0508735	0.0637956	19.6186	-3.16604	1.98724
0.036	0.713553	-0.064316	0.0717414	19.5357	-3.5549	1.98565
0.04	0.791518	-0.07931	0.0796809	19.4451	-3.94173	1.98406
0.044	0.869104	-0.0958469	0.0876139	19.3469	-4.32635	1.98248
0.048	0.946283	-0.113918	0.0955407	19.2412	-4.70863	1.98089
0.052	1.02302	-0.133513	0.103461	19.1278	-5.08842	1.97931
0.056	1.0993	-0.154621	0.111375	19.007	-5.46555	1.97772
0.06	1.17507	-0.177233	0.119283	18.8788	-5.8399	1.97614
0.064	1.25032	-0.201337	0.127184	18.7433	-6.21132	1.97456
0.068	1.32501	-0.22692	0.135079	18.6004	-6.57965	1.97298
0.072	1.39911	-0.25397	0.142968	18.4503	-6.94476	1.97141
0.076	1.4726	-0.282473	0.150851	18.2931	-7.3065	1.96983
0.08	1.54545	-0.312417	0.158727	18.1288	-7.66474	1.96825
0.084	1.61762	-0.343786	0.166597	17.9575	-8.01935	1.96668
0.088	1.6891	-0.376567	0.17446	17.7793	-8.37017	1.96511
0.092	1.75985	-0.410743	0.182318	17.5943	-8.71708	1.96354
0.096	1.82984	-0.446298	0.190169	17.4025	-9.05995	1.96197
0.1	1.89906	-0.483217	0.198013	17.2041	-9.39865	1.9604
0.104	1.96747	-0.521481	0.205852	16.9991	-9.73304	1.95883
0.108	2.03504	-0.561075	0.213684	16.7876	-10.063	1.95726
0.112	2.10176	-0.601979	0.22151	16.5698	-10.3884	1.9557
0.116	2.16759	-0.644176	0.229329	16.3456	-10.7091	1.95413
0.12	2.23252	-0.687646	0.237143	16.1153	-11.025	1.95257
0.124	2.29651	-0.73237	0.24495	15.8788	-11.3361	1.95101
0.128	2.35954	-0.778328	0.252751	15.6365	-11.642	1.94945
0.132	2.42159	-0.825499	0.260546	15.3882	-11.9428	1.94789
0.136	2.48264	-0.873863	0.268334	15.1342	-12.2384	1.94633
0.14	2.54266	-0.923399	0.276116	14.8745	-12.5286	1.94478
0.144	2.60162	-0.974085	0.283892	14.6093	-12.8133	1.94322
0.148	2.65952	-1.0259	0.291662	14.3386	-13.0924	1.94167
0.152	2.71633	-1.07882	0.299426	14.0627	-13.3659	1.94011
0.156	2.77202	-1.13282	0.307183	13.7815	-13.6335	1.93856
0.16	2.82657	-1.18788	0.314934	13.4953	-13.8953	1.93701
0.164	2.87997	-1.24397	0.322679	13.2041	-14.1511	1.93546
0.168	2.9322	-1.30108	0.330418	12.9082	-14.4008	1.93392
0.172	2.98323	-1.35917	0.33815	12.6075	-14.6443	1.93237
0.176	3.03305	-1.41822	0.345877	12.3023	-14.8816	1.93082
0.18	3.08164	-1.47821	0.353597	11.9926	-15.1126	1.92928
0.184	3.12899	-1.53912	0.361311	11.6786	-15.3371	1.92774
0.188	3.17507	-1.6009	0.369019	11.3605	-15.5552	1.9262
0.192	3.21987	-1.66355	0.376721	11.0383	-15.7666	1.92466
0.196	3.26337	-1.72703	0.384416	10.7122	-15.9714	1.92312
0.2	3.30556	-1.79131	0.392106	10.3823	-16.1695	1.92158
0.204	3.34642	-1.85637	0.399789	10.0488	-16.3608	1.92004
0.208	3.38594	-1.92219	0.407466	9.71187	-16.5453	1.91851
0.212	3.42411	-1.98873	0.415137	9.37154	-16.7228	1.91697
0.216	3.46091	-2.05596	0.422802	9.02801	-16.8934	1.91544
0.22	3.49633	-2.12386	0.43046	8.68141	-17.0569	1.91391
0.224	3.53036	-2.19241	0.438113	8.33189	-17.2133	1.91238
0.228	3.56298	-2.26156	0.445759	7.9796	-17.3626	1.91085
0.232	3.59419	-2.3313	0.4534	7.62467	-17.5047	1.90932
0.236	3.62398	-2.40159	0.461034	7.26726	-17.6396	1.90779
0.24	3.65233	-2.47241	0.468662	6.90751	-17.7672	1.90627
0.244	3.67923	-2.54372	0.476284	6.54557	-17.8874	1.90474
0.248	3.70469	-2.61549	0.4839	6.18159	-18.0004	1.90322
0.252	3.72869	-2.68771	0.49151	5.81571	-18.1059	1.9017
0.256	3.75121	-2.76033	0.499114	5.4481	-18.204	1.90018
0.26	3.77227	-2.83333	0.506711	5.07889	-18.2947	1.89866
0.264	3.79184	-2.90668	0.514303	4.70823	-18.3779	1.89714
0.268	3.80993	-2.98034	0.521888	4.33629	-18.4536	1.89562
0.272	3.82653	-3.0543	0.529468	3.9632	-18.5218	1.89411
0.276	3.84164	-3.12851	0.537041	3.58913	-18.5825	1.89259
0.28	3.85524	-3.20295	0.544609	3.21421	-18.6356	1.89108
0.284	3.86735	-3.27758	0.55217	2.83861	-18.6812	1.88957
0.288	3.87795	-3.35239	0.559725	2.46247	-18.7193	1.88805
0.292	3.88705	-3.42733	0.567274	2.08595	-18.7498	1.88655
0.296	3.89464	-3.50238	0.574818	1.70919	-18.7727	1.88504
0.3	3.90072	-3.5775	0.582355	1.33236	-18.7881	1.88353
0.304	3.9053	-3.65267	0.589886	0.955587	-18.796	1.88202
0.308	3.90837	-3.72786	0.597411	0.579039	-18.7963	1.88052
0.312	3.90993	-3.80303	0.60493	0.202861	-18.789	1.87901
0.316	3.90999	-3.87816	0.612443	-0.172798	-18.7743	1.87751
0.32	3.90855	-3.95322	0.61995	-0.547786	-18.7521	1.87601
0.324	3.90561	-4.02817	0.627451	-0.921956	-18.7224	1.87451
0.328	3.90117	-4.10298	0.634946	-1.29516	-18.6853	1.87301
0.332	3.89525	-4.17764	0.642435	-1.66725	-18.6407	1.87151
0.336	3.88784	-4.2521	0.649918	-2.03807	-18.5888	1.87002
0.34	3.87895	-4.32634	0.657395	-2.40749	-18.5295	1.86852
0.344	3.86858	-4.40033	0.664866	-2.77535	-18.4628	1.86703
