0	0	0	0
0.064	1.25032	-0.201337	0.127184
0.128	2.35954	-0.778328	0.252751
0.192	3.21987	-1.66355	0.376721
0.256	3.75121	-2.76033	0.499114
0.32	3.90855	-3.95322	0.61995
0.384	3.68553	-5.12	0.739249
0.448	3.11416	-6.14421	0.857032
0.512	2.26061	-6.92661	0.973316
0.576	1.2177	-7.39477	1.08812
0.64	0.0949418	-7.50961	1.20147
0.704	-0.992937	-7.26855	1.31337
0.768	-1.93759	-6.70478	1.42385
0.832	-2.6478	-5.88306	1.53293
0.896	-3.05818	-4.8924	1.64061
0.96	-3.1351	-3.83655	1.74693
1.024	-2.87929	-2.82315	1.8519
1.088	-2.32482	-1.95288	1.95553
1.152	-1.53491	-1.3095	2.05784
1.216	-0.594832	-0.951855	2.15885
1.28	0.397248	-0.908646	2.25858
1.344	1.34041	-1.17626	2.35704
1.408	2.14119	-1.71997	2.45425
1.472	2.7228	-2.47821	2.55022
1.536	3.03238	-3.36943	2.64497
1.6	3.04572	-4.30079	2.73851
1.664	2.76897	-5.17777	2.83086
1.728	2.23725	-5.9137	2.92204
1.792	1.51039	-6.43825	3.01206
1.856	0.666302	-6.7041	3.10094
1.92	-0.207314	-6.6911	3.18869
1.984	-1.022	-6.4076	3.27531
2.048	-1.69744	-5.8889	3.36084
2.112	-2.16935	-5.19303	3.44528
2.176	-2.3955	-4.39432	3.52865
2.24	-2.35938	-3.57557	3.61095
2.304	-2.07126	-2.81949	3.69221
2.368	-1.56643	-2.20039	3.77244
2.432	-0.901045	-1.77698	3.85164
2.496	-0.14598	-1.58683	3.92984
2.56	0.620696	-1.64311	4.00704
2.624	1.32171	-1.93397	4.08326
2.688	1.88835	-2.42426	4.15851
2.752	2.26712	-3.05972	4.23281
2.816	2.42473	-3.77288	4.30616
2.88	2.35096	-4.49018	4.37858
2.944	2.05905	-5.13949	4.45007
3.008	1.58383	-5.65735	4.52066
3.072	0.977645	-5.99507	4.59035
3.136	0.304664	-6.12332	4.65915
3.2	-0.365857	-6.0345	4.72708
3.264	-0.96666	-5.74302	4.79414
3.328	-1.43919	-5.28327	4.86035
3.392	-1.73924	-4.70566	4.92572
3.456	-1.84105	-4.07116	4.99025
3.52	-1.73941	-3.44491	5.05397
3.584	-1.44966	-2.88957	5.11688
3.648	-1.00565	-2.45912	5.17898
3.712	-0.455864	-2.19361	5.2403
3.776	0.141837	-2.11553	5.30083
3.84	0.726229	-2.22798	5.3606
3.904	1.23898	-2.51486	5.41961
3.968	1.63041	-2.94295	5.47786
4.032	1.86429	-3.46571	5.53538
4.096	1.92113	-4.02826	5.59216
